Country,Iso3,Who region,Month Start,Month Lab,Cases,Deaths
Denmark,DNK,EURO,01/09/2024,Sep-24,5,0
Denmark,DNK,EURO,01/10/2024,Oct-24,0,0
Dominican Republic,DOM,AMRO,01/11/2023,Nov-23,0,0
Dominican Republic,DOM,AMRO,01/12/2023,Dec-23,0,0
Dominican Republic,DOM,AMRO,01/01/2024,Jan-24,0,0
Dominican Republic,DOM,AMRO,01/02/2024,Feb-24,4,0
Dominican Republic,DOM,AMRO,01/03/2024,Mar-24,2,0
Dominican Republic,DOM,AMRO,01/04/2024,Apr-24,2,0
Dominican Republic,DOM,AMRO,01/05/2024,May-24,0,0
Dominican Republic,DOM,AMRO,01/06/2024,Jun-24,0,0
Dominican Republic,DOM,AMRO,01/07/2024,Jul-24,0,0
Dominican Republic,DOM,AMRO,01/08/2024,Aug-24,0,0
Dominican Republic,DOM,AMRO,01/09/2024,Sep-24,0,0
Dominican Republic,DOM,AMRO,01/10/2024,Oct-24,0,0
Ecuador,ECU,AMRO,01/11/2023,Nov-23,1,0
Ecuador,ECU,AMRO,01/12/2023,Dec-23,11,0
Ecuador,ECU,AMRO,01/01/2024,Jan-24,1,0
Ecuador,ECU,AMRO,01/02/2024,Feb-24,0,0
Ecuador,ECU,AMRO,01/03/2024,Mar-24,1,0
Ecuador,ECU,AMRO,01/04/2024,Apr-24,1,0
Ecuador,ECU,AMRO,01/05/2024,May-24,1,0
Ecuador,ECU,AMRO,01/06/2024,Jun-24,0,0
Ecuador,ECU,AMRO,01/07/2024,Jul-24,1,0
Ecuador,ECU,AMRO,01/08/2024,Aug-24,8,0
Ecuador,ECU,AMRO,01/09/2024,Sep-24,10,0
Ecuador,ECU,AMRO,01/10/2024,Oct-24,1,0
El Salvador,SLV,AMRO,01/11/2023,Nov-23,0,0
El Salvador,SLV,AMRO,01/12/2023,Dec-23,0,0
El Salvador,SLV,AMRO,01/01/2024,Jan-24,0,0
El Salvador,SLV,AMRO,01/02/2024,Feb-24,0,0
El Salvador,SLV,AMRO,01/03/2024,Mar-24,0,0
El Salvador,SLV,AMRO,01/04/2024,Apr-24,0,0
El Salvador,SLV,AMRO,01/05/2024,May-24,0,0
El Salvador,SLV,AMRO,01/06/2024,Jun-24,0,0
El Salvador,SLV,AMRO,01/07/2024,Jul-24,0,0
El Salvador,SLV,AMRO,01/08/2024,Aug-24,0,0
El Salvador,SLV,AMRO,01/09/2024,Sep-24,0,0
El Salvador,SLV,AMRO,01/10/2024,Oct-24,0,0
Estonia,EST,EURO,01/11/2023,Nov-23,0,0
Estonia,EST,EURO,01/12/2023,Dec-23,0,0
Estonia,EST,EURO,01/01/2024,Jan-24,0,0
Estonia,EST,EURO,01/02/2024,Feb-24,0,0
Estonia,EST,EURO,01/03/2024,Mar-24,0,0
Estonia,EST,EURO,01/04/2024,Apr-24,0,0
Estonia,EST,EURO,01/05/2024,May-24,0,0
Estonia,EST,EURO,01/06/2024,Jun-24,0,0
Estonia,EST,EURO,01/07/2024,Jul-24,0,0
Estonia,EST,EURO,01/08/2024,Aug-24,0,0
Estonia,EST,EURO,01/09/2024,Sep-24,0,0
Estonia,EST,EURO,01/10/2024,Oct-24,0,0
Finland,FIN,EURO,01/11/2023,Nov-23,0,0
